"filename","category","token_count","FAC","NORP","ORG","PERSON","total_pii_entities","token_score","pii_score","dpdd_risk_score"
"Committee of the Whole-15 Nov 2021.pdf","Committee of the Whole","6623","27","1","208","73","309","0.3378219841877072","0.2691637630662021","0.30349287362695465"
"Committee of the Whole-13 Jan 2025.pdf","Committee of the Whole","3181","8","0","108","58","174","0.16225452690640144","0.15156794425087108","0.15691123557863626"
"Regular Council-26 Apr 2011.pdf","Regular Council","638","1","1","17","27","46","0.03254271869421066","0.04006968641114982","0.036306202552680245"
"Whitby Diversity and Inclusion Advisory Committee-01 Feb 2024.pdf","Whitby Diversity and Inclusion Advisory Committee","1281","1","0","43","37","81","0.06534047436878347","0.07055749128919861","0.06794898282899103"
"Committee of Adjustment-19 Aug 2021.pdf","Committee of Adjustment","5711","6","7","85","185","283","0.2913032389696506","0.2465156794425087","0.26890945920607967"
"Committee of the Whole-02 Mar 2020.pdf","Committee of the Whole","5682","25","5","173","93","296","0.2898240244835501","0.2578397212543554","0.2738318728689527"
"Special Council-13 Feb 2017.pdf","Special Council","1170","1","0","33","25","59","0.05967865340474369","0.05139372822299652","0.0555361908138701"
"Regular Council-17 Nov 2008.pdf","Regular Council","4077","10","0","142","76","228","0.20795715378729915","0.1986062717770035","0.20328171278215132"
"Special Council-19 Jan 2015.pdf","Special Council","556","2","0","32","19","53","0.02836011221627136","0.046167247386759584","0.03726367980151547"
"Committee of the Whole-24 Jan 2022.pdf","Committee of the Whole","4014","7","0","149","41","197","0.20474368783473604","0.171602787456446","0.18817323764559102"
"Regular Council-26 Jul 2010.pdf","Regular Council","1166","2","0","26","36","64","0.059474623820453966","0.05574912891986063","0.0576118763701573"
"Brooklin Downtown Development Steering Committee-31 Oct 2019.pdf","Brooklin Downtown Development Steering Committee","1399","14","0","63","39","116","0.07135934710533028","0.10104529616724739","0.08620232163628883"
"Special Council-29 May 2023.pdf","Special Council","476","1","0","10","26","37","0.024279520530476918","0.032229965156794424","0.02825474284363567"
"Special Council-03 Feb 2025.pdf","Special Council","776","7","0","13","32","52","0.03958173935220607","0.04529616724738676","0.04243895329979641"
"Committee of Adjustment-25 Feb 2025.pdf","Committee of Adjustment","7156","4","0","112","178","294","0.3650089262943127","0.25609756097560976","0.31055324363496123"
"Committee of Adjustment-08 Jul 2021.pdf","Committee of Adjustment","6741","6","4","120","195","325","0.34384085692425403","0.28310104529616725","0.3134709511102106"
"Property Standards Appeal Committee-24 Aug 2022.pdf","Property Standards Appeal Committee","832","1","1","18","26","46","0.04243815353226218","0.04006968641114982","0.041253919971706"
"Committee of the Whole-19 Oct 2020.pdf","Committee of the Whole","7833","13","0","194","99","306","0.39954093343534813","0.2665505226480836","0.33304572804171584"
"Committee of Adjustment-22 Oct 2020.pdf","Committee of Adjustment","1312","3","0","15","39","57","0.06692170364702882","0.04965156794425087","0.05828663579563985"
"Special Council-04 Feb 2019.pdf","Special Council","1129","2","0","26","33","61","0.057587350165774036","0.05313588850174216","0.0553616193337581"
"Regular Council-15 May 2023.pdf","Regular Council","4318","14","0","175","84","273","0.22024993624075492","0.23780487804878048","0.22902740714476771"
"Animal Services Appeal Committee-27 May 2020.pdf","Animal Services Appeal Committee","629","1","0","20","25","46","0.032083652129558785","0.04006968641114982","0.0360766692703543"
"Regular Council-09 Jun 2008.pdf","Regular Council","1342","7","0","64","40","111","0.06845192552920173","0.09668989547038327","0.08257091049979251"
"Regular Council-02 Nov 2009.pdf","Regular Council","5114","17","0","191","80","288","0.2608518235144096","0.2508710801393728","0.25586145182689124"
"Committee of the Whole-03 Mar 2025.pdf","Committee of the Whole","4345","7","4","144","86","241","0.22162713593471053","0.20993031358885017","0.21577872476178034"
"Municipal Licensing and Standards Committee-24 Jan 2024.pdf","Municipal Licensing and Standards Committee","917","3","0","20","34","57","0.04677378219841877","0.04965156794425087","0.04821267507133482"
"Animal Services Appeal Committee-22 Jan 2020.pdf","Animal Services Appeal Committee","1753","1","0","34","62","97","0.08941596531497067","0.08449477351916376","0.08695536941706722"
"Regular Council-17 May 2010.pdf","Regular Council","528","1","0","17","24","42","0.026931905126243307","0.036585365853658534","0.03175863548995092"
"Joint AAC and WDIAC-05 Mar 2024.pdf","Joint AAC and WDIAC","1077","3","0","29","34","66","0.054934965570007654","0.05749128919860627","0.05621312738430696"
"Downtown Whitby Development Steering Committee-16 Jun 2022.pdf","Downtown Whitby Development Steering Committee","1023","6","0","38","34","78","0.052180566182096405","0.06794425087108014","0.06006240852658827"
"Special Council-28 May 2018.pdf","Special Council","2194","13","0","53","53","119","0.11191022698291252","0.10365853658536585","0.10778438178413918"
"Regular Council-28 Jun 2010.pdf","Regular Council","10001","33","0","350","123","506","0.5101249681203774","0.44076655052264807","0.4754457593215128"
"Regular Council-05 Mar 2012.pdf","Regular Council","3183","8","0","100","73","181","0.1623565416985463","0.15766550522648085","0.16001102346251356"
"Special Council-01 Feb 2016.pdf","Special Council","530","0","0","11","21","32","0.027033919918388168","0.027874564459930314","0.02745424218915924"
"Special Council-10 Jun 2024.pdf","Special Council","974","1","0","19","34","54","0.04968120377454731","0.047038327526132406","0.04835976565033986"
"Heritage Whitby Advisory Committee-11 Feb 2020.pdf","Heritage Whitby Advisory Committee","2522","7","0","89","64","160","0.12864065289466972","0.13937282229965156","0.13400673759716064"
"Special Council-28 Apr 2025.pdf","Special Council","900","1","1","23","32","57","0.045906656465187455","0.04965156794425087","0.047779112204719164"
"Regular Council-10 May 2010.pdf","Regular Council","7610","34","0","264","115","413","0.38816628411119614","0.3597560975609756","0.37396119083608587"
"Committee of Adjustment-08 Sep 2022.pdf","Committee of Adjustment","1847","0","0","28","49","77","0.09421066054577913","0.06707317073170732","0.08064191563874323"
"Regular Council-07 Jul 2008.pdf","Regular Council","8355","23","2","285","110","420","0.42616679418515685","0.36585365853658536","0.39601022636087113"
"Audit Committee-28 Jan 2021.pdf","Audit Committee","615","0","0","22","20","42","0.03136954858454476","0.036585365853658534","0.03397745721910164"
"Committee of the Whole-06 Dec 2021.pdf","Committee of the Whole","5488","20","1","184","65","270","0.2799285896454986","0.23519163763066203","0.2575601136380803"
"Special Council-31 Oct 2016.pdf","Special Council","527","0","0","9","22","31","0.026880897730170876","0.02700348432055749","0.026942191025364184"
"Committee of Adjustment-09 Apr 2019.pdf","Committee of Adjustment","1999","6","0","30","44","80","0.10196378474878857","0.06968641114982578","0.08582509794930718"
"Accessibility Advisory Committee-01 Jun 2021.pdf","Accessibility Advisory Committee","1694","3","1","50","36","90","0.08640652894669727","0.078397212543554","0.08240187074512564"
"Special Council-11 Feb 2019.pdf","Special Council","640","1","0","11","24","36","0.03264473348635552","0.0313588850174216","0.03200180925188856"
"Special Council-21 Oct 2019.pdf","Special Council","581","1","0","18","28","47","0.029635297118082122","0.040940766550522645","0.03528803183430238"
"Brooklin Downtown Development Steering Committee-25 Jun 2020.pdf","Brooklin Downtown Development Steering Committee","1547","4","4","62","38","108","0.07890844172404998","0.09407665505226481","0.0864925483881574"
"Heritage Whitby Advisory Committee-09 Nov 2021.pdf","Heritage Whitby Advisory Committee","1365","5","1","59","33","98","0.06962509563886764","0.08536585365853659","0.07749547464870211"
"Special Council-23 Jun 2014.pdf","Special Council","577","1","0","19","23","43","0.0294312675337924","0.037456445993031356","0.033443856763411876"
"Committee of Adjustment-28 Nov 2019.pdf","Committee of Adjustment","2774","8","0","51","57","116","0.14149451670492222","0.10104529616724739","0.1212699064360848"
"Special Council-29 Mar 2021.pdf","Special Council","3026","14","1","77","93","185","0.1543483805151747","0.16114982578397213","0.1577491031495734"
"Regular Council-20 Apr 2015.pdf","Regular Council","7149","29","1","216","132","378","0.36465187452180564","0.32926829268292684","0.34696008360236624"
"Committee of the Whole-04 Mar 2024.pdf","Committee of the Whole","10073","41","1","369","150","561","0.5137975006375924","0.4886759581881533","0.5012367294128729"
"Special Council-19 Mar 2018.pdf","Special Council","745","1","0","18","25","44","0.03800051007396073","0.03832752613240418","0.03816401810318246"
"Committee of the Whole-23 Nov 2020.pdf","Committee of the Whole","3574","10","0","98","61","169","0.18230043356286663","0.14721254355400698","0.1647564885584368"
"Special Council-19 Mar 2024.pdf","Special Council","592","1","0","16","31","48","0.030196378474878858","0.041811846689895474","0.036004112582387164"
"Active Transportation and Safe Roads Advisory Committee-08 May 2025.pdf","Active Transportation and Safe Roads Advisory Committee","1212","6","0","31","38","75","0.06182096403978577","0.06533101045296168","0.06357598724637373"
"Regular Council-02 Nov 2020.pdf","Regular Council","6673","24","0","164","150","338","0.34037235399132876","0.29442508710801396","0.31739872054967133"
"Special Council-17 Jun 2019.pdf","Special Council","1021","1","0","28","31","60","0.052078551389951544","0.05226480836236934","0.05217167987616044"
"Public Meetings-27 Mar 2023.pdf","Public Meetings","900","6","0","16","23","45","0.045906656465187455","0.039198606271777","0.042552631368482224"
"Special Council-24 Oct 2016.pdf","Special Council","717","2","0","10","29","41","0.03657230298393267","0.03571428571428571","0.03614329434910919"
"Regular Council-21 Jan 2008.pdf","Regular Council","356","0","0","11","19","30","0.01815863300178526","0.02613240418118467","0.022145518591484965"
"Committee of the Whole-23 Jan 2023.pdf","Committee of the Whole","4541","21","1","129","76","227","0.23162458556490692","0.19773519163763068","0.2146798886012688"
"Regular Council-28 Oct 2013.pdf","Regular Council","4800","17","1","110","142","270","0.24483550114766642","0.23519163763066203","0.24001356938916424"
"Regular Council-20 Mar 2017.pdf","Regular Council","8168","11","4","237","120","372","0.41662841111961235","0.3240418118466899","0.3703351114831511"
"Municipal Licensing and Standards Committee-23 Aug 2023.pdf","Municipal Licensing and Standards Committee","785","0","0","13","27","40","0.04004080591685794","0.03484320557491289","0.037442005745885416"
"Special Council-17 Feb 2022.pdf","Special Council","3207","11","0","82","56","149","0.16358071920428463","0.1297909407665505","0.14668582998541757"
"In Camera Council Session-18 Nov 2013.pdf","In Camera Council Session","423","1","0","18","19","38","0.021576128538638103","0.033101045296167246","0.027338586917402673"
"Committee of the Whole-10 May 2021.pdf","Committee of the Whole","9955","74","0","242","183","499","0.5077786279010457","0.4346689895470383","0.471223808724042"
"Regular Council-05 Apr 2011.pdf","Regular Council","2182","10","0","75","46","131","0.11129813823004335","0.11411149825783973","0.11270481824394155"
"Special Council-04 Oct 2021.pdf","Special Council","587","1","0","8","22","31","0.029941341494516705","0.02700348432055749","0.028472412907537097"
"Audit Committee-25 Jun 2019.pdf","Audit Committee","453","1","0","8","12","21","0.02310635042081102","0.018292682926829267","0.020699516673820143"
"Public Meetings-11 Sep 2023.pdf","Public Meetings","1261","4","0","27","27","58","0.06432032644733486","0.050522648083623695","0.05742148726547928"
"Regular Council-12 Dec 2016.pdf","Regular Council","5420","10","3","177","123","313","0.2764600867125733","0.27264808362369336","0.27455408516813334"
"Ethno Cultural and Diversity Advisory Committee-01 Mar 2018.pdf","Ethno Cultural and Diversity Advisory Committee","1778","9","0","48","40","97","0.09069115021678144","0.08449477351916376","0.08759296186797261"
"Regular Council-06 Dec 2010.pdf","Regular Council","1125","2","0","34","57","93","0.057383320581484314","0.08101045296167247","0.0691968867715784"
"Special Council-25 Apr 2018.pdf","Special Council","1206","1","0","28","39","68","0.06151491966335119","0.059233449477351915","0.060374184570351555"
"Special Council-02 Apr 2013.pdf","Special Council","762","5","0","19","29","53","0.03886763580719204","0.046167247386759584","0.04251744159697581"
"Committee of the Whole-18 Jan 2021.pdf","Committee of the Whole","6977","9","1","189","121","320","0.35587860239734764","0.2787456445993031","0.3173121234983254"
"Whitby Diversity and Inclusion Advisory Committee-04 Apr 2024.pdf","Whitby Diversity and Inclusion Advisory Committee","210","1","0","2","9","12","0.010711553175210406","0.010452961672473868","0.010582257423842136"
"Whitby Sustainability Advisory Committee-03 Apr 2024.pdf","Whitby Sustainability Advisory Committee","1479","12","0","49","38","99","0.07543993879112472","0.08623693379790941","0.08083843629451706"
"Public Meetings-01 Feb 2021.pdf","Public Meetings","1316","2","0","36","31","69","0.06712573323131854","0.06010452961672474","0.06361513142402164"
"Committee of Adjustment-12 Nov 2020.pdf","Committee of Adjustment","952","1","0","20","24","45","0.048559041060953836","0.039198606271777","0.04387882366636542"
